# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeAvgNs,1685160670861000000,1685160730884000000,3.1320815376623374E8
FlushQueue.tasksExecuted,1685160670861000000,1685160730884000000,87
NonBlockingReadAction.finalizedExecutionTimeUs,1685160670861000000,1685160730884000000,97310618
FlushQueue.executionTime90PNs,1685160670861000000,1685160730884000000,80216063
AWTEventQueue.dispatchTime90PNs,1685160670861000000,1685160730884000000,82837503
FlushQueue.waitingTimeAvgNs,1685160670861000000,1685160730884000000,2.1997484726436782E8
AWTEventQueue.eventsDispatched,1685160670861000000,1685160730884000000,77
NonBlockingReadAction.failedExecutionsCount,1685160670861000000,1685160730884000000,0
FlushQueue.queueSizeAvg,1685160670861000000,1685160730884000000,0.5172413793103449
FlushQueue.queueSizeMax,1685160670861000000,1685160730884000000,5
FlushQueue.executionTimeAvgNs,1685160670861000000,1685160730884000000,2.7649668818390805E8
NonBlockingReadAction.finalizedExecutionsCount,1685160670861000000,1685160730884000000,680
FlushQueue.waitingTimeMaxNs,1685160670861000000,1685160730884000000,13623099391
NonBlockingReadAction.failedExecutionTimeUs,1685160670861000000,1685160730884000000,0
FlushQueue.waitingTime90PNs,1685160670861000000,1685160730884000000,110624767
FlushQueue.executionTimeMaxNs,1685160670861000000,1685160730884000000,18656264191
FlushQueue.queueSize90P,1685160670861000000,1685160730884000000,2
AWTEventQueue.dispatchTimeMaxNs,1685160670861000000,1685160730884000000,18656264191
StorageLockContext.competingThreads.max,1685160670861000000,1685160730884000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1685160670861000000,1685160730884000000,0
DirectByteBufferAllocator.reclaimed,1685160670861000000,1685160730884000000,3
FilePageCache.pageFastCacheHits,1685160670861000000,1685160730884000000,527462
DirectByteBufferAllocator.disposed,1685160670861000000,1685160730884000000,0
DirectByteBufferAllocator.misses,1685160670861000000,1685160730884000000,256
FilePageCache.pageHits,1685160670861000000,1685160730884000000,67
FilePageCache.maxCacheSizeInBytes,1685160670861000000,1685160730884000000,264347648
FilePageCache.pageLoads,1685160670861000000,1685160730884000000,259
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1685160670861000000,1685160730884000000,0
FilePageCache.totalPageDisposalsUs,1685160670861000000,1685160730884000000,2029
DirectByteBufferAllocator.hits,1685160670861000000,1685160730884000000,3
FilePageCache.capacityInBytes,1685160670861000000,1685160730884000000,524288000
FilePageCache.totalPageLoadsUs,1685160670861000000,1685160730884000000,814113
FilePageCache.uncachedFileAccess,1685160670861000000,1685160730884000000,295
FilePageCache.disposedBuffers,1685160670861000000,1685160730884000000,3
StorageLockContext.competingThreads.avg,1685160670861000000,1685160730884000000,0.02564102564102564
FilePageCache.maxRegisteredFiles,1685160670861000000,1685160730884000000,746
StorageLockContext.competingThreads.90P,1685160670861000000,1685160730884000000,0
FileNameCache.queries,1685160670861000000,1685160730884000000,319410
FileNameCache.fastMisses,1685160670861000000,1685160730884000000,22074
