Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;36.94;100.00%;52;13314
/data/project/src;34.89;94.45%;40;12677
/data/project/src/components;19.04;51.56%;30;8755
/data/project/src/components/modules;9.43;25.53%;0;1214
/data/project/src/components/modules/DetailSection;5.42;14.68%;0;201
/data/project/src/components/modules/DetailHeader;3.24;8.77%;0;206
/data/project/src/components/modules/DetailHeader/__snapshots__;0.00;0.00%;0;2
/data/project/src/components/modules/SendResumeSection;0.55;1.50%;0;201
/data/project/src/components/modules/SimilarPost;0.11;0.29%;0;202
/data/project/src/components/modules/TempData;0.06;0.17%;0;201
/data/project/src/components/modules/DetailItem;0.05;0.13%;0;203
/data/project/src/components/ProfilesCompanies;3.66;9.90%;15;1834
/data/project/src/components/ProfilesCompanies/UpdatePost;1.09;2.94%;8;410
/data/project/src/components/ProfilesCompanies/NewPost;0.87;2.35%;2;408
/data/project/src/components/ProfilesCompanies/Information;0.71;1.92%;1;102
/data/project/src/components/ProfilesCompanies/MyPosts;0.48;1.31%;2;304
/data/project/src/components/ProfilesCompanies/Resume;0.23;0.63%;1;408
/data/project/src/components/Login;2.03;5.48%;5;1636
/data/project/src/components/Login/Company;1.00;2.71%;2;610
/data/project/src/components/Login/User;0.95;2.57%;3;925
/data/project/src/components/Bookmark;1.02;2.75%;2;413
/data/project/src/components/ProfilesUsers;0.53;1.43%;3;817
/data/project/src/components/ProfilesUsers/Request;0.25;0.68%;1;511
/data/project/src/components/ProfilesUsers/Information;0.21;0.58%;2;202
/data/project/src/components/SingleDropdownWithSearch;0.49;1.33%;0;101
/data/project/src/components/Messages;0.45;1.22%;0;507
/data/project/src/components/Header;0.33;0.88%;2;302
/data/project/src/components/SearchBox;0.27;0.74%;0;203
/data/project/src/components/TitlePages;0.19;0.52%;0;202
/data/project/src/components/MobileMenu;0.16;0.42%;0;202
/data/project/src/components/Footer;0.12;0.33%;0;305
/data/project/src/components/Footer/MainFooter;0.11;0.30%;0;203
/data/project/src/components/Post;0.10;0.27%;1;206
/data/project/src/components/Option;0.10;0.27%;0;204
/data/project/src/components/Toast;0.03;0.07%;1;102
/data/project/src/components/Pagination;0.02;0.05%;0;204
/data/project/src/components/Pagination/__snapshots__;0.00;0.00%;0;2
/data/project/src/redux;10.88;29.46%;4;585
/data/project/src/redux/reducers;7.77;21.05%;0;195
/data/project/src/redux/action-creators;3.10;8.40%;4;97
/data/project/src/redux/actions;0.00;0.01%;0;98
/data/project/src/constants;2.59;7.03%;0;97
/data/project/src/pages;1.09;2.94%;1;1422
/data/project/src/services;0.37;0.99%;2;397
/data/project/src/services/api;0.20;0.54%;2;100
/data/project/src/services/hooks;0.09;0.23%;0;97
/data/project/src/services/utils;0.08;0.23%;0;200
/data/project/src/layouts;0.13;0.36%;0;103
/data/project/src/assets;0.13;0.36%;0;126
/data/project/src/assets/fonts/IRANSans/@font-face;0.09;0.26%;0;108
/data/project/src/assets/images/NewImage_Job;0.04;0.10%;0;18
/data/project/src/ts;0.11;0.30%;0;199
/data/project/src/routes;0.04;0.12%;0;100
/data/project/src/contexts;0.02;0.07%;0;101
/data/project/log;1.95;5.29%;12;113
/data/project/log/indexing-diagnostic/project.15375f63;0.00;0.00%;0;4
/data/project/.github/workflows;0.04;0.10%;0;3
/data/project/public;0.03;0.07%;0;11
